"First","Last","Player","Team","Season","Min","Pos","Shots","SoT","Dist","Solo","G","xG","xPlace","G-xG","KeyP","Dist.key","A","xA","A-xA","xG+xA","PA","xPA","xG/shot","xA/pass","G-xG/shot","A-xA/pass","Comp ($K)","Team/96","Min/96","Pos/96","Shots/96","SoT/96","G/96","xG/96","xPlace/96","G-xG/96","KeyP/96","A/96","xA/96","A-xA/96","xG+xA/96","PA/96","xPA/96","Comp ($K)/96","extreme1","extreme2","plotnames"
"Carlos","Vela","Carlos Vela","LAFC",2019,2931,"Wing",159,70,21.1186482227673,0.327044025157233,34,25.69,5.26516391377175,8.30990573901063,93,14.7913403980741,10,11.4055545761845,-1.40555457618446,37.0956488371738,17.8159471054867,15.1561442848836,0.161572919880436,0.12264037178693,0.0522635581069851,-0.0151134900664996,6300,"LAFC",2931,"Wing",5.20777891504606,2.29273285568066,1.1136131013306,0.841436045395762,0.172451632794981,0.272177055934841,3.0460593654043,0.327533265097236,0.373569853058242,-0.046036587961006,1.215005898454,0.583531532625973,0.496414142391276,6300,549,549,"Vela"
"Zlatan","Ibrahimovic","Zlatan Ibrahimovic","LAG",2019,2807,"F",150,64,17.3524837013884,0.22,30,23.531,3.66243507602374,6.46863745767047,44,17.3551048006767,7,5.81418100712715,1.18581899287285,29.3455435494567,18.5891998072128,16.1133329622368,0.156875750282197,0.132140477434708,0.0431242497178031,0.026950431656201,7200,"LAG",2807,"F",5.13003206270039,2.1888136800855,1.02600641254008,0.80477762880785,0.125256062450402,0.221228783732228,1.50480940505878,0.239401496259352,0.198846233232706,0.0405552630266452,1.00362386204056,0.63575460687297,0.551079431554947,7200,548,548,"Ibrahimovic"
"Josef","Martinez","Josef Martinez","ATL",2019,2757,"F",116,48,15.3166824544567,0.198275862068966,27,20.777,2.1545709608668,6.22342039703191,30,21.5587192403128,3,2.80575821370243,0.194241786297571,23.5823378166705,14.7576171727685,11.4212480898801,0.179108444853173,0.093525273790081,0.0536501758364819,0.00647472620991902,3058,"ATL",2757,"F",4.03917301414581,1.67138193688792,0.940152339499456,0.72344999705656,0.0750231455361672,0.216702342442895,1.04461371055495,0.104461371055495,0.0976977832845242,0.00676358777097091,0.821147780341084,0.51386697445984,0.397693078211276,3058,547,547,"Martinez"
"Mauro","Manotas","Mauro Manotas","HOU",2019,2707,"F",92,29,18.0587007578179,0.217391304347826,13,14.559,-3.60411232314614,-1.55910693432595,41,19.8414042689287,7,5.71557379223314,1.28442620776686,20.2746807265591,10.3332821680524,9.84842943630309,0.15825116232963,0.139404238834955,-0.016946814503543,0.0313274684821186,1245,"HOU",2707,"F",3.26265238271149,1.02844477281123,0.461026967122276,0.51631853184163,-0.127814844116007,-0.055291564719354,1.45400812707795,0.248245289988918,0.202694896215139,0.0455503937737787,0.719013428056769,0.366455518335067,0.349260888764351,1245,545,539,"Manotas"
"Kei","Kamara","Kei Kamara","COL",2019,2739,"F",95,44,14.6859067298043,0.284210526315789,14,17.261,3.80955517171961,-3.26098491185143,22,23.0056048199185,1,2.25345186541273,-1.25345186541273,19.5144367772642,6.69445642801355,9.59846249025325,0.181694578019489,0.102429630246033,-0.0343261569668572,-0.0569750847914876,750,"COL",2739,"F",3.32968236582694,1.5421686746988,0.490690032858708,0.60498523239786,0.133522196599154,-0.114295199539152,0.771084337349398,0.0350492880613363,0.0789818835632062,-0.04393259550187,0.683967115961066,0.234635931759511,0.336419276766817,750,546,542,"Kamara"
"Maximiliano","Moralez","Maximiliano Moralez","NYC",2019,2652,"Wing",50,24,19.1483327652357,0.34,7,10.174,-0.74296893084551,-3.17432266902037,97,20.5902351237923,12,9.12948177685326,2.87051822314673,19.3038044458736,4.25859336649744,5.52658015972832,0.203486453380407,0.0941183688335388,-0.0634864533804073,0.0295929713726468,2000,"NYC",2652,"Wing",1.80995475113122,0.868778280542986,0.253393665158371,0.36830127308671,-0.0268948029265343,-0.114907607928339,3.51131221719457,0.434389140271493,0.330478978347629,0.103910161923864,0.69878025143434,0.154157225936559,0.200057200352156,2000,533,498,"Moralez"
"Diego","Valeri","Diego Valeri","POR",2019,2810,"CAM",83,32,22.260683469661,0.301204819277108,8,9.398,-0.0298458726191466,-1.39808929522792,125,16.2618598088036,8,9.50931542826963,-1.50931542826963,18.9074047234975,4.71594064074303,5.53694218243367,0.11322999150877,0.076074523426157,-0.0168444493400954,-0.012074523426157,2420,"POR",2810,"CAM",2.8355871886121,1.0932384341637,0.273309608540925,0.321073513288925,-0.00101964547026266,-0.0477639047480002,4.27046263345196,0.273309608540925,0.324873409649069,-0.0515638011081438,0.645946922937995,0.161113986302965,0.189162437549335,2420,529,510,"Valeri"
"Diego","Rossi","Diego Rossi","LAFC",2019,3078,"Wing",108,48,19.5289968862217,0.185185185185185,16,11.025,2.36474032626734,4.97455930503605,49,19.2658299454037,6,7.71693096875718,-1.71693096875718,18.7423716637211,8.17464488952044,5.21488031930193,0.102087413842259,0.157488387117493,0.0460607343058894,-0.0350394075256567,1052,"LAFC",3078,"Wing",3.36842105263158,1.49707602339181,0.499025341130604,0.343873393994977,0.0737540842500535,0.155151947135627,1.52826510721248,0.187134502923977,0.240684006822836,-0.0535495038988593,0.584557400817813,0.254959684663406,0.162647339393432,1052,536,546,"Rossi"
"Carles","Gil","Carles Gil","NER",2019,3283,"CM",67,24,22.8441923421552,0.283582089552239,10,8.13,2.50666163526985,1.87007371358399,106,18.1632942816028,12,9.80100099276899,2.19899900723101,17.930927279185,7.07361761812851,6.19912347354785,0.121342183379343,0.0924622735166886,0.0279115479639402,0.0207452736531228,2338,"NER",3283,"CM",1.95918367346939,0.701797136765154,0.292415473652147,0.237731624579938,0.07329866493631,0.0546838490722093,3.09960402071276,0.350898568382577,0.286596434756571,0.0643021336260058,0.524328059336509,0.206843524623922,0.181271962674564,2338,514,524,"Gil"
"Daniel","Royer","Daniel Royer","NYRB",2019,2485,"Wing",85,35,18.2580924254854,0.2,11,13.489,-0.693590687317904,-2.48916932620542,31,16.6659598753273,6,4.35705140246212,1.64294859753788,17.8462207286675,5.753968145779,8.01873510250334,0.158696109720064,0.140550045240713,-0.0292843450141814,0.0529983418560608,769,"NYRB",2485,"Wing",3.28370221327968,1.35211267605634,0.424949698189135,0.521110766726648,-0.0267946502947762,-0.0961610685375133,1.19758551307847,0.231790744466801,0.168320698042802,0.0634700464239988,0.68943146476945,0.222286093358062,0.30977809651522,769,542,525,"Royer"
